f_id,nbhd,host,cap,inst,pwr
F03609,harlem,Green Grocer,"1,804",20240222,GRID
F04381,Crown Heights,the bakery,187,20220903,grid
F00020,jackson hts,community garden,504,20210126,Solar
F00195,Sunset Park,bodega grande,"1,744",20200826,GRID
F02113,harlem,The Bakery,"1,139",20241019,grid
F03234,Harlem,Green Grocer,708,20200214,grid
F03437,Sunset Park,The Bakery,529,20240107,Solar
F03538,Bed-Stuy,st. marks church,"1,842",20230421,Grid
F01608,Flatbush,the bakery,942,20240215,Grid
F04328,Crown Heights, CORNER DELI ,641,20240612,Solar
F02241,Crown Heights,corner deli,847,20240113,grid
F01493,crown hts,bodega grande,"1,765",20210105,solar
F02401,mott haven,the bakery,,20200918,generator
F00628,bushwick,The Bakery,"1,569",20200518,Grid
F01559,sunset park,Community Garden,135,20221210,solar
F00721,Sunset Park,green grocer,"1,231",20220220,Grid
F04564,Mott Haven,corner deli,"1,072",20190721,generator
F03332,bushwick,Corner Deli,"1,727",20230522,Solar
F03388,mott haven,Green Grocer,"1,533",20180925,Generator
F00752,Crown Heights,Corner Deli,"1,419",20220222,Solar
F01284,Bed-Stuy,green grocer,"1,850",20180423,Grid
F04308,mott haven,green grocer,"1,870",20210505,grid
F01313,Jackson Heights,mutual aid nyc,499,20231120,SOLAR
F02837,jackson hts,Corner Deli,"1,222",20230727,generator
F03636,Bushwick,The Bakery,"1,935",20201017,grid
F00798,Bedford-Stuyvesant,St. Marks Church,"1,423",20180221,Generator
F03944,ridgewood,Green Grocer,597,20240326,Solar
F02835,ridgewood,the bakery,734,20240407,Solar
F03920,flatbush ,Mutual Aid NYC,"1,302",20230109,GRID
F04216,Mott Haven,Corner Deli,"1,824",20220305,Grid
F00136,Flatbush,community garden,962,20231225,solar
F01204,Bedford-Stuyvesant,green grocer,280,20190524,Grid
F01778,Jackson Heights,Mutual Aid NYC,"1,657",20220416,Generator
F02723,Jackson Heights,st. marks church,610,20190425,grid
F04876,crown hts,Mutual Aid NYC,550,20241222,solar
F01076,Bed-Stuy,corner deli,"1,939",20210919,solar
F04319,flatbush ,Bodega Grande,"1,101",20200821,GRID
F01946,Bed-Stuy,St. Marks Church,796,20230113,Grid
F03090,mott haven,,253,20180722,SOLAR
F04376,Crown Heights,Bodega Grande,"1,044",20201019,solar
F02546,Crown Heights,community garden,"1,092",20220826,grid
F03087,ridgewood,corner deli,570,20180220,GRID
F02114,Mott Haven,mutual aid nyc,360,20990907,Solar
F03465,flatbush ,bodega grande,101,20210611,grid
F01441,Mott Haven,Bodega Grande,154,20180612,Solar
F02454,Crown Heights, CORNER DELI ,"1,205",20190223,Solar
F02893,bushwick,Corner Deli,822,20241102,solar
F04135,Bedford-Stuyvesant,st. marks church,969,20231005,solar
F04077,Ridgewood,The Bakery,252,20241204,Solar
F02246,Bedford-Stuyvesant,,613,20190415,Grid
F02887,bed-stuy, CORNER DELI ,171,20210826,solar
F03386,crown hts,community garden,"1,534",20190320,Solar
F03640,Bedford-Stuyvesant,Bodega Grande,724,20201026,Grid
F01019, Bushwick ,the bakery,938,20211224,GRID
F01571,Crown Heights,Bodega Grande,"1,210",20200801,generator
F01900,Bushwick,bodega grande,48,20210525,GRID
F03690,harlem,bodega grande,"1,188",20180115,solar
F01044,bed-stuy,mutual aid nyc,232,20230127,generator
F04073,flatbush ,green grocer,"1,421",20221101,generator
F03338,flatbush , CORNER DELI ,998,20230610,grid
F02279,mott haven,green grocer,531,20211122,solar
F01002,Crown Heights,corner deli,767,20210809,SOLAR
F00804,mott haven,Corner Deli,"1,286",20240607,Grid
F03247,Harlem,community garden,"1,455",20191016,grid
F00325,Flatbush,Community Garden,"1,284",20200320,SOLAR
F01968,crown hts,green grocer,"1,034",20200516,Generator
F02108,bushwick, CORNER DELI ,724,20191110,Solar
F01403,mott haven,mutual aid nyc,,20200724,SOLAR
F03237,Flatbush, CORNER DELI ,769,20180416,GRID
F03949,Harlem,Mutual Aid NYC,"1,804",20990505,Generator
F04269,Sunset Park,,999999,20240128,solar
F04866,ridgewood,Green Grocer,"1,851",20201117,Solar
F01536,crown hts,Corner Deli,"1,300",20221125,generator
F01943,Bushwick,community garden,418,20230324,solar
F02792, Bushwick ,green grocer,"1,682",20230610,Grid
F02731,crown hts,mutual aid nyc,59,20200219,Generator
F01871,flatbush ,Corner Deli,343,20181227,solar
F00102,harlem,Green Grocer,"1,416",20240818,generator
F03495,harlem,corner deli,"1,109",20240511,SOLAR
F02758,Jackson Heights,,"1,118",20200124,generator
F02194,crown hts,Green Grocer,598,20190427,Solar
F03780,Bedford-Stuyvesant,Green Grocer,641,20191201,SOLAR
F01685,Bushwick,corner deli,112,20210610,Solar
F00821,Bedford-Stuyvesant,st. marks church,"1,616",20181107,Solar
F01694,bed-stuy,green grocer,537,20220724,solar
F01620,Sunset Park,Community Garden,"1,577",20230427,Solar
F01158,Bed-Stuy,Green Grocer,"1,399",20241104,Grid
F00673,ridgewood,green grocer,"1,046",20240317,Solar
F01297,Bed-Stuy,Corner Deli,646,20240902,Grid
F01688,bed-stuy,Green Grocer,81,20220106,SOLAR
F04624,Mott Haven,Green Grocer,"1,845",20210703,generator
F02391,crown hts,Bodega Grande,"1,006",20221114,Generator
F00569,bushwick,the bakery,"1,821",20210901,Solar
F01849,Bushwick,green grocer,"1,159",20201212,GRID
F00980,Mott Haven,St. Marks Church,853,20190511,solar
F03708,ridgewood,Green Grocer,156,20230222,GRID
F04102,ridgewood,Green Grocer,222,20200802,SOLAR
F00982,Sunset Park,st. marks church,423,20220212,SOLAR
F00033,jackson hts,green grocer,789,20190213,GRID
F04710,Harlem,community garden,68,20220401,GRID
F00502,Bedford-Stuyvesant,st. marks church,342,20240323,grid
F01210,Bed-Stuy,corner deli,"1,951",20231111,SOLAR
F01857,Bushwick,Corner Deli,359,20230418,grid
F04497,Flatbush,Mutual Aid NYC,47,20180524,SOLAR
F00457,harlem,The Bakery,"1,396",20190627,generator
F03819,Bed-Stuy,,406,20200516,SOLAR
F02141,Jackson Heights,Mutual Aid NYC,137,20210503,Solar
F02846,crown hts,St. Marks Church,335,20191220,solar
F04742,ridgewood,Mutual Aid NYC,686,20200517,SOLAR
F00189,Crown Heights,green grocer,943,20190823,grid
F01446,jackson hts,green grocer,"1,747",20181218,Generator
F00340,bushwick,st. marks church,673,20201108,SOLAR
F02790,Mott Haven,St. Marks Church,226,20230403,Generator
F03022, Bushwick ,Bodega Grande,945,20230904,generator
F02455,sunset park,St. Marks Church,"1,105",20180127,Generator
F02549,crown hts,Corner Deli,,20181023,solar
F00577,bed-stuy,community garden,392,20190713,Grid
F01191, Bushwick ,st. marks church,"1,855",20180809,generator
F00453,Bed-Stuy,Bodega Grande,905,20230226,Grid
F03704,bushwick,the bakery,104,20180817,GRID
F04895,bushwick,green grocer,754,20210728,Solar
F01594,harlem,green grocer,926,20241121,SOLAR
F02095,sunset park,,"1,369",20191124,grid
F00293,Bushwick,Bodega Grande,218,20200709,grid
F01224,Ridgewood,community garden,"1,867",20201121,Grid
F04502,Jackson Heights,Bodega Grande,,20200214,grid
F01468,crown hts,the bakery,"1,638",20220311,Solar
F02877,Sunset Park,Bodega Grande,"1,794",20180427,Grid
F04852,Sunset Park,Community Garden,702,20181019,GRID
F01693,crown hts, CORNER DELI ,"1,315",20230302,GRID
F01425,Jackson Heights,The Bakery,"1,128",20201223,solar
F03884,Bed-Stuy,Mutual Aid NYC,530,20190428,solar
F03277,Bedford-Stuyvesant,The Bakery,"1,426",20230617,Grid
F01655,Sunset Park,green grocer,325,20200927,solar
F01914,Bedford-Stuyvesant,St. Marks Church,"1,641",20191023,grid
F00803, Bushwick ,Community Garden,785,20241028,solar
F00576,ridgewood,Green Grocer,"1,416",20240814,solar
F04528,Harlem,Community Garden,"1,226",20210821,generator
F04886,Mott Haven,corner deli,"1,224",20221027,Grid
F04129,bushwick, CORNER DELI ,"1,374",20240803,generator
F00862, Bushwick ,Bodega Grande,-30,20240510,solar
F03921,Mott Haven,Bodega Grande,,20200607,grid
F01743,Ridgewood,community garden,"1,262",20190722,solar
F01561,bushwick,community garden,"1,107",20180327,Grid
F02525,jackson hts,bodega grande,485,20211003,generator
F02291,Flatbush,mutual aid nyc,"1,961",20231126,generator
F02968,sunset park,,645,20210515,Generator
F01755,Ridgewood,Community Garden,974,20241013,Generator
F01232,Bed-Stuy,st. marks church,391,20180301,solar
F01196,Harlem,Community Garden,"1,424",20240709,grid
F01476,Bushwick,,650,20240416,Solar
F03649,Harlem,Mutual Aid NYC,"1,552",20241009,grid
F02638,Ridgewood,bodega grande,"1,480",20240309,SOLAR
F01488,Bedford-Stuyvesant,st. marks church,592,20190114,Solar
F00454,jackson hts,mutual aid nyc,"1,489",20210227,generator
F04364,ridgewood,Corner Deli,535,20230413,GRID
F02715,sunset park,Bodega Grande,999999,20180804,SOLAR
F04064,bed-stuy,st. marks church,"1,608",20180217,Solar
F02754,Crown Heights,Community Garden,906,20180307,GRID
F02368,bushwick,st. marks church,164,20210922,grid
F02900,flatbush ,mutual aid nyc,371,20230520,generator
F01303,bushwick,corner deli,"1,262",20990805,generator
F04621,mott haven,bodega grande,785,20201210,Generator
F03900,Bed-Stuy,St. Marks Church,873,20220717,GRID
F04266,sunset park,the bakery,151,20240314,Grid
F02740,sunset park,The Bakery,"1,576",20220122,solar
F02728,bed-stuy,st. marks church,211,20191220,GRID
F01733,Ridgewood,st. marks church,682,20240719,solar
F02435,Jackson Heights,green grocer,"1,101",20181015,solar
F03724,crown hts, CORNER DELI ,641,20230319,solar
F04893,Bed-Stuy,mutual aid nyc,"1,305",20221017,Grid
F03385,Harlem,,"1,255",20230906,SOLAR
F02904,Flatbush,mutual aid nyc,"1,811",20240304,generator
F01013,Bushwick,the bakery,102,20200326,grid
F01575,crown hts,mutual aid nyc,827,20240224,grid
F04855, Bushwick ,Community Garden,"1,564",20220608,Solar
F00632,harlem,the bakery,"1,861",20230207,grid
F03014,Sunset Park,The Bakery,891,20200619,Generator
F03415,Crown Heights, CORNER DELI ,355,20220820,SOLAR
F03548,Harlem,The Bakery,,20240417,generator
F00516,Harlem,green grocer,"1,174",20190816,SOLAR
F03190,Jackson Heights,st. marks church,"1,985",20240114,GRID
F01846,bushwick,St. Marks Church,"1,770",20220710,SOLAR
F03267,Crown Heights,Mutual Aid NYC,62,20201017,GRID
F00728,jackson hts,st. marks church,"1,237",20200326,GRID
F04085,Harlem,Bodega Grande,"1,774",20201024,generator
F04698,crown hts, CORNER DELI ,73,20190524,GRID
F01472,Sunset Park,corner deli,909,20210914,solar
