f_id,log_dt,temp,items,clean,restk
F01961,2025-01-15,33,11,Dirty ,Yes
F04734,2020-05-24,37,5,needs cleaning,YES
F01340,2025-07-11,42,13,Clean,YES
F00118,2024-12-14,38,6,dirty,y
F01390,2020-02-03,37,41,Clean,No
F03241,2023-01-20,39,53,dirty,yes
F00123,2025-10-03,37,22,Clean,Yes
F00699,2024-11-22,44,22,dirty,yes
F02621,2025-06-14,-50,37,clean,No
F04095,2023-05-01,44,18,CLEAN,y
F01023,2024-05-26,33,48,dirty,Yes
F00172,2024-10-08,41,27,CLEAN,n
F03748,2022-04-13,39,41,clean,y
F01927,2020-01-20,44,57,,yes
F00204,2023-11-07,33,33,Dirty ,YES
F04057,2020-09-20,45,0,needs cleaning,n
F03492,2024-11-08,41,13,clean,No
F04733,2022-10-01,43,59,CLEAN,yes
F04122,2024-04-09,33,42, ok,YES
F04648,2024-11-26,45,17,OK,n
F02755,2021-09-12,35,42,needs cleaning,No
F04206,2025-08-06,35,13,Clean,No
F02066,2022-08-19,45,43,clean,y
F01971,2020-10-12,40,12,clean,y
F02898,2024-01-10,36,42,OK,y
F02599,2021-05-23,43,54,needs cleaning,y
F02515,2023-02-15,44,2,needs cleaning,YES
F01990,2021-01-22,37,39,needs cleaning,n
F02377,2023-01-04,33,28,clean,n
F00332,2020-05-18,36,99999,needs cleaning,NO
F04520,2020-09-08,36,12,CLEAN,No
F01935,2025-06-09,34,45, ok,Yes
F03366,2021-06-13,38,38,dirty,No
F04616,2023-10-15,37,37,needs cleaning,yes
F03209,2024-12-11,33,13,OK,n
F01709,2023-08-01,37,9,clean,no
F00551,2024-07-04,35,7,Dirty ,no
F00884,2024-05-18,45,40,clean,no
F00101,2024-11-04,-50,33,clean,No
F02922,2024-12-24,,17, ok,no
F09056,2021-06-10,33,12, ok,YES
F02216,2024-07-12,40,16,Dirty ,Yes
F03047,2023-02-18,43,60,Dirty ,NO
F03749,2025-03-14,45,14, ok,no
F02104,2022-09-07,43,50,OK,NO
F04674,2024-08-02,45,56,Clean,yes
F03146,2025-01-07,41,15,clean,yes
F04617,2020-11-17,35,8,clean,Yes
F00203,2025-04-10,34,42,dirty,Yes
F02319,2025-02-25,44,1, ok,n
F04158,2021-01-13,34,42,clean,no
F00697,2024-05-05,43,33,needs cleaning,y
F02983,2024-07-27,34,10,Clean,yes
F04720,2023-01-26,34,56,needs cleaning,YES
F01061,2025-12-13,37,9,needs cleaning,yes
F00737,2022-02-02,39,44,CLEAN,NO
F01867,2022-01-17,44,52,OK,n
F00339,2024-09-26,40,6,OK,YES
F00482,2020-08-16,33,11,clean,NO
F00202,2022-02-22,39,31,clean,YES
F03854,2021-05-17,34,31,Dirty ,no
F04362,2025-07-03,40,8,dirty,no
F03259,2021-07-26,40,18,,y
F02715,2024-04-18,42,2,dirty,n
F03891,2022-05-26,45,36,needs cleaning,Yes
F02765,2022-03-27,45,99999,CLEAN,NO
F03938,2022-03-21,39,37,OK,NO
F03638,2024-05-17,35,18,clean,yes
F00568,2022-09-05,33,26, ok,n
F03345,2025-10-20,37,55,OK,YES
F01351,2020-02-08,39,34,Clean,y
F01633,2023-12-21,36,40, ok,No
F01868,2024-02-17,,30,OK,no
F02615,2022-05-24,37,41,Clean,No
F04125,2021-04-05,45,7,needs cleaning,YES
F00597,2022-12-08,43,15,OK,y
F04075,2024-04-11,45,36,clean,no
F00368,2025-03-15,38,19,OK,y
F03566,2020-06-10,36,10,needs cleaning,no
F00755,2023-10-17,36,28,OK,no
F00094,2020-01-11,39,46,CLEAN,NO
F01066,2025-04-24,38,38,Clean,y
F04074,2020-02-06,39,55,Dirty ,no
F03957,2024-01-04,39,59,needs cleaning,No
F02381,2020-10-28,43,50,CLEAN,NO
F03984,2021-06-01,33,39,Clean,No
F02382,2025-04-27,38,59,CLEAN,no
F03624,2024-01-07,45,31,Clean,n
F02573,2023-09-25,45,42,OK,y
F02513,2021-06-02,36,51,clean,No
F01395,2022-04-15,34,54,clean,y
F01191,2021-12-21,34,26,OK,y
F01440,2025-12-19,33,58,,Yes
F01511,2023-04-08,42,53, ok,NO
F02598,2020-01-10,37,15,,YES
F03696,2022-11-17,44,38,dirty,YES
F01999,2025-11-24,45,44,Dirty ,NO
F00476,2020-06-12,45,44,CLEAN,y
F03707,2021-10-18,41,19,clean,No
F04405,2025-11-18,41,42,CLEAN,No
F02341,2023-11-24,42,20, ok,y
F01370,2024-07-02,42,26,clean,y
F03305,2024-01-16,40,8,Dirty ,YES
F02681,2025-06-12,37,14,,y
F00801,2021-12-24,44,29,CLEAN,no
F03286,2021-03-10,33,50,dirty,yes
F03158,2025-06-19,36,45, ok,YES
F02867,2020-05-10,36,37,dirty,n
F02611,2023-10-04,41,6,CLEAN,YES
F03574,2024-04-28,,16,OK,y
F04751,2025-01-02,39,15,,n
F00277,2025-11-10,44,36,CLEAN,n
F03902,2024-09-13,38,18,clean,yes
F03185,2024-07-15,39,52, ok,n
F03919,2025-08-04,41,,Dirty ,YES
F02429,2022-10-11,,28,CLEAN,no
F04790,2023-10-14,-50,30,needs cleaning,Yes
F02709,2020-03-09,37,57,needs cleaning,YES
F02465,2022-09-16,35,13, ok,yes
F01424,2025-12-16,38,47,clean,YES
F02791,2020-01-21,39,5,OK,y
F03641,2023-08-20,36,10,,NO
F04682,2025-11-19,45,24,Clean,no
F01141,2025-02-15,42,17,dirty,NO
F03982,2022-03-05,44,6,dirty,YES
F02564,2025-12-13,999,6, ok,No
F02422,2024-04-18,37,45,Clean,No
F03711,2020-11-09,35,1,clean,yes
F02327,2023-02-01,39,, ok,NO
F02900,2021-09-09,42,55,Clean,n
F04653,2021-12-17,41,12,Dirty ,Yes
F02518,2022-09-21,42,14,needs cleaning,n
F03787,2020-06-16,42,, ok,NO
F09303,2025-02-16,42,58,Clean,yes
F02164,2023-07-13,38,16,Dirty ,n
F03735,2022-05-20,37,28,CLEAN,NO
F02376,2021-08-19,40,34,Clean,no
F02208,2024-09-18,40,,dirty,n
F02678,2020-01-23,45,51,CLEAN,No
F03120,2022-08-16,37,33,Dirty ,YES
F01326,2021-09-05,35,35,Clean,NO
F00528,2023-04-05,40,58,,YES
F02904,2020-04-01,45,10,Clean,No
F00174,2020-05-04,999,39,needs cleaning,No
F01989,2025-09-07,36,34,clean,NO
F01939,2022-12-14,35,37,dirty,Yes
F00047,2023-01-03,38,,dirty,No
F00096,2021-06-23,45,,Dirty ,y
F03473,2025-12-26,42,-5,OK,NO
F00391,2023-04-28,36,23,Clean,Yes
F00754,2025-10-05,45,5,Clean,no
F03216,2020-06-04,40,34, ok,y
F03420,2023-05-14,34,0,clean,n
F04568,2025-07-27,38,28,clean,y
F00336,2023-01-25,38,21, ok,no
F03108,2022-09-07,,51,clean,NO
F02790,2023-07-21,37,27,dirty,no
F00206,2025-06-07,36,,Clean,Yes
F03131,2023-05-25,44,2,CLEAN,no
F00232,2023-02-11,45,53,Dirty ,y
F09953,2022-04-02,34,41,Dirty ,yes
F09538,2025-09-01,39,56,Clean,Yes
F01109,2023-09-12,43,0, ok,NO
F04058,2022-02-05,44,9,clean,NO
F00492,2020-07-06,40,59,dirty,YES
F04868,2020-06-28,40,13, ok,NO
F01565,2021-06-25,43,8, ok,n
F01922,2022-03-16,43,22,needs cleaning,No
F03142,2020-04-23,34,56,,No
F00871,2023-06-08,43,46,clean,Yes
F00965,2022-11-15,44,55,OK,n
F02620,2022-01-03,37,-5,needs cleaning,NO
F00709,2020-05-25,41,20, ok,y
F04782,2023-01-16,-50,29,Clean,YES
F04024,2025-08-26,35,17,needs cleaning,NO
F00026,2021-07-24,36,42,Dirty ,n
F00337,2020-09-21,40,49,dirty,No
