m_id,insp_dt,cond,rtg,graf,fade
M02742,2020-06-23,Excellent,1,Yes,14
M01462,2022-10-21,Good,3,n,19
M01989,2024-12-20, excellent,,n,75
M03659,2023-11-21,GOOD,3,y,55
M01967,2024-08-22, excellent,2,Yes,60
M02234,2020-12-15,Poor ,2,yes,31
M01583,2022-11-02,Excellent,5,no,71
M03574,2021-10-27,GOOD,4,no,15
M03335,2024-04-18,fair,4,yes,24
M00661,2019-07-15,Good,3,NO,90
M01310,2020-01-20,good,2,no,70
M01920,2021-11-17,poor,5,no,8
M03884,2022-11-15,GOOD,4,yes,30
M01433,2023-04-19,Good,5,yes,46
M03935,2021-11-08,Poor ,1,yes,
M04539,2021-04-02,Fair,3,y,83
M01505,2022-08-18,poor,2,No,-10
M04278,2023-04-26,fair,3,n,53
M00944,2020-02-12,Fair,2,n,6
M04190,2021-12-18,GOOD,2,yes,53
M02720,2021-03-11,GOOD,4,Yes,48
M01768,2020-12-11,poor,5,Yes,31
M02747,2021-04-02,Fair,3,no,82
M00971,2021-11-24,poor,3,No,0
M01626,2023-03-03,Good,4,YES,49
M04732,2023-01-20, excellent,1,y,66
M03112,2022-08-07,fair,4,y,87
M00606,2020-01-25,Fair,5,NO,55
M01123,2021-07-16,fair,5,NO,23
M00816,2022-11-12,fair,4,no,14
M00069,2022-01-01,Good,3,Yes,31
M02219,2021-12-06,Poor ,5,y,150
M02126,2023-05-12,Fair,2,y,55
M01219,2022-03-27,Good,5,No,37
M03947,2022-08-06, excellent,1,no,74
M01747,2022-03-28,good,3,NO,29
M04166,2023-01-04,Good,4,Yes,86
M03285,2023-10-21,GOOD,1,yes,80
M00630,2019-12-10,poor,3,no,46
M00200,2020-06-18,Fair,,yes,100
M02211,2021-08-01,fair,3,n,15
M01233,2024-12-14,good,3,yes,150
M03124,2021-09-11,GOOD,5,NO,42
M02119,2019-08-17,fair,1,n,9
M01813,2020-05-08,Good,2,n,47
M00732,2019-06-04,Poor ,4,Yes,98
M02675,2023-01-25, excellent,3,Yes,50
M09944,2021-10-17,good,4,y,3
M02990,2022-09-18,fair,1,y,80
M03381,2022-10-25,poor,1,y,65
M00053,2024-07-13,,0,No,85
M00621,2019-12-11, excellent,1,NO,13
M04820,2021-10-15,Excellent,3,yes,8
M01625,2023-05-04, excellent,1,Yes,42
M00110,2021-06-18,Fair,4,No,
M03705,2022-06-19,fair,3,NO,61
M00529,2024-10-18,poor,4,Yes,52
M02419,2020-10-15,Excellent,4,y,14
M04330,2023-04-17,Poor ,1,yes,71
M02041,2022-06-14,poor,4,yes,54
M00381,2024-05-17,,1,yes,24
M02821,2020-05-24,Excellent,2,No,8
M01240,2024-09-13,GOOD,5,No,92
M01591,2019-01-23,Fair,2,NO,28
M02313,2019-01-05, excellent,3,n,27
M01298,2024-02-10,Excellent,4,n,65
M01561,2024-10-10, excellent,5,Yes,70
M01040,2023-09-22,Excellent,2,Yes,2
M01543,2020-10-19,good,2,no,12
M00728,2024-07-15,fair,4,NO,36
M03596,2020-04-20,fair,4,NO,34
M03114,2021-07-01,,3,no,2
M02408,2024-11-14,Good,4,NO,6
M04603,2023-01-19,Good,4,NO,92
M00753,2020-09-13,poor,2,no,31
M02192,2020-04-10,Good,4,Yes,97
M00973,2019-12-25,Poor ,4,yes,9
M03668,2023-06-11, excellent,3,No,46
M02425,2022-12-23,GOOD,5,yes,50
M04894,2023-01-09, excellent,5,no,20
M02715,2020-09-19,fair,1,n,43
M01760,2023-02-21,good,2,n,24
M04054,2019-01-03,poor,5,y,55
M01151,2023-02-28, excellent,2,no,34
M00457,2022-02-23,good,4,NO,25
M02084,2024-06-04, excellent,,Yes,10
M03025,2023-04-15,fair,5,yes,30
M04561,2020-12-10,,3,y,9
M01345,2021-03-10,Fair,4,n,2
M01275,2020-09-16,Poor ,,YES,58
M04059,2023-03-01,good,2,no,87
M02578,2021-03-05,Fair,2,Yes,6
M01211,2021-12-19,Good,1,YES,67
M04017,2019-11-17,fair,4,YES,63
M04896,2019-06-20,poor,1,YES,0
M02796,2024-04-26,Excellent,3,YES,66
M00459,2019-10-13,Fair,2,NO,8
M03593,2019-11-05,Good,3,y,83
M01419,2021-12-01,Fair,1,NO,51
M04647,2021-03-15, excellent,4,no,59
M00287,2019-06-18,Poor ,4,no,12
M04248,2020-07-01,Fair,3,yes,53
M00989,2019-02-17, excellent,1,y,73
M01363,2022-05-11,,4,Yes,49
M09194,2019-03-10,GOOD,1,NO,46
M03295,2019-02-11,GOOD,1,Yes,55
M03873,2023-03-26,poor,5,YES,9
M03700,2022-02-03,Excellent,3,n,6
M00948,2022-03-16, excellent,3,NO,0
M00912,2024-07-18,Poor ,4,YES,-10
M04677,2022-07-22,Fair,4,NO,76
M04405,2021-06-10,poor,5,no,5
M00443,2021-04-20, excellent,2,NO,69
M02971,2020-12-20,Poor ,2,Yes,75
M02927,2021-12-10,fair,,n,-10
M00122,2020-10-03,,4,no,49
M01512,2019-06-27,Fair,1,No,5
M02887,2024-08-09,GOOD,5,yes,54
M04459,2020-07-05,GOOD,5,no,35
M01495,2024-07-05,fair,,n,0
M01005,2021-07-01,good,3,y,39
M04800,2021-09-05,good,1,NO,61
M02789,2024-04-13,fair,1,Yes,150
M03658,2023-03-21,Excellent,2,YES,73
M04388,2019-09-18,Fair,3,n,87
M04236,2021-06-16,Fair,5,NO,14
M01185,2020-01-07,GOOD,3,NO,25
M03922,2024-12-20,Good,4,NO,23
M04529,2024-05-21,poor,1,y,81
M01026,2021-07-19,Good,1,no,47
M00004,2023-02-02,good,0,Yes,61
M09167,2021-10-06,Good,2,No,73
M01350,2021-07-22,fair,1,yes,34
M03978,2019-11-09,good,4,n,79
M01662,2020-05-06,poor,3,NO,60
M01119,2023-02-05,fair,1,No,4
M02872,2021-01-08,poor,2,Yes,0
M02519,2024-05-22,Good,4,no,93
M01868,2024-10-04,Poor ,3,no,40
M04118,2020-10-20,good,4,Yes,68
M00514,2021-05-26,Excellent,2,n,14
M01036,2023-02-10,fair,1,n,5
M00808,2024-03-25, excellent,5,Yes,87
M04182,2023-04-13,GOOD,4,no,98
M03508,2023-02-14,poor,2,Yes,57
M09579,2019-08-10,Excellent,,yes,80
M09443,2020-02-09,poor,1,no,60
M01718,2024-01-07, excellent,4,no,79
M03353,2019-09-11, excellent,3,no,46
M00256,2022-06-15, excellent,4,No,2
M01658,2021-07-20,poor,1,n,41
M03334,2023-05-13,GOOD,2,No,92
M04314,2023-07-22,Good,5,Yes,66
M03163,2023-01-03,Fair,2,Yes,36
