m_id,nbhd,artst,med,sz,yr,dt
M04334,bushwick,kaws,Spray Paint,"7,829",2011,20110922
M04053,Williamsburg,cost,aerosol,"5,520",2014,20140201
M03396,astoria,kaws,mosaic,"2,792",2006,20060612
M01238,chelsea ,futura,Acrylic,66,2013,20130919
M03409, Bushwick ,KAWS,Acrylic,,2023,20230714
M00041,the bronx,jane q. public,Wheatpaste,"3,845",2012,20120326
M03161,soho,Os Gemeos,Aerosol,"6,595",2005,20050211
M02244,astoria,kaws,wheatpaste,"3,711",2021,20210810
M04578,Long Island City,,Wheatpaste,"2,916",2010,20100303
M02705,LIC,KAWS,spray paint,"5,170",2008,20081113
M01489,the bronx,Shepard Fairey,Spray Paint,"2,281",2023,20230825
M02712,the bronx,Banksy,aerosol,"4,397",2009,20091003
M01921,the bronx,lady pink,wheatpaste,"4,326",2013,20130211
M04059,SoHo,lady pink,Spray Paint,"2,716",,20130226
M02159,Bronx,COST,Wheatpaste,"2,322",2014,20141102
M00797,soho,Faith47,aerosol,112,2021,20210909
M04847,soho,,acrylic,"2,417",2019,20190827
M00513,Bronx,Faith47,Mosaic,"4,029",2005,20051119
M03904,Astoria,KAWS,Aerosol,"2,744",,20160123
M00212,harlem, BANKSY ,Spray Paint,341,2016,20161021
M03607,Bushwick,faith47,Acrylic,424,2010,20100513
M02532,chelsea ,faith47,aerosol,"5,525",2009,20090415
M01592,Astoria,Os Gemeos,wheatpaste,"7,300",2022,20221022
M02568,LIC,lady pink,aerosol,94,2020,20201110
M00017,Astoria,Os Gemeos,Wheatpaste,"4,717",2012,20120404
M04174,Harlem,Shepard Fairey,Mosaic,"4,755",2015,20150508
M02662,SoHo,Jane Q. Public,Mosaic,306,2012,20120910
M01523,Chelsea,Os Gemeos,spray paint,284,2022,20221213
M01095,Long Island City,Os Gemeos,Wheatpaste,"5,546",2015,20150517
M02790,Long Island City, BANKSY ,aerosol,"4,054",2008,20080203
M02463,chelsea ,kaws,Wheatpaste,275,2012,20120817
M00094,Bushwick,os gemeos,wheatpaste,602,2022,20220411
M01704,bushwick,,spray paint,908,2018,20180315
M02264,BUSHWICK,KAWS,wheatpaste,"5,059",2014,20140420
M01343,soho,banksy,mosaic,"3,423",2013,20130622
M01618,LIC,shepard fairey,spray paint,"1,229",2011,20110306
M02516,Astoria,Lady Pink,wheatpaste,"4,817",2023,20230311
M04371,williamsburg,cost,wheatpaste,"7,555",2014,20141002
M04882,soho,cost,Aerosol,"3,465",2007,20071217
M03674,Astoria,cost,Acrylic,"4,174",2011,20110924
M04310,LIC,Faith47,mosaic,"1,089",2014,20140514
M03155,Bushwick,Lady Pink,Wheatpaste,751,2014,20140702
M03350,Lower East Side,os gemeos,mosaic,"6,063",2009,20091012
M03343,Williamsburg,Jane Q. Public,mosaic,"4,003",2014,20141013
M04709,Long Island City,kaws,wheatpaste,"6,435",2021,20210101
M00352,astoria,Shepard Fairey,acrylic,"6,100",2013,20131211
M02150,LES,lady pink,Aerosol,"5,933",2005,20050412
M02134,Bushwick,KAWS,Wheatpaste,999999,2009,20090815
M01421,Williamsburg, BANKSY ,aerosol,362,2014,20141108
M02070,Bushwick,Jane Q. Public,acrylic,"1,527",2017,20170220
M01912,lower east side,Faith47,aerosol,"5,808",2017,20170325
M00782,Harlem,Lady Pink,Wheatpaste,946,2006,20060602
M02738,Bronx,banksy,aerosol,"7,918",2023,20230502
M00353,LIC,lady pink,Aerosol,"1,479",,20070318
M02245,LES,faith47,Mosaic,"7,152",2020,20200726
M00902,Williamsburg,Os Gemeos,Mosaic,"6,935",2013,20131120
M03794,astoria,cost,wheatpaste,"5,793",2021,20211227
M03233,the bronx,Futura,spraypaint,,2013,20130323
M00130,chelsea ,COST,aerosol,"5,216",2012,20120120
M03573,Bronx,COST,wheatpaste,"5,242",2009,20090324
M01424,Astoria,Faith47,Wheatpaste,,2012,20120824
M00060,Lower East Side,Shepard Fairey,acrylic,"7,773",2020,20200516
M01754, Bushwick ,kaws,Aerosol,999999,2013,20131216
M04272,LES, BANKSY ,Aerosol,"6,606",2013,20130214
M04743,Harlem,KAWS,spraypaint,"7,722",2019,20190222
M03536,lower east side,banksy,Spray Paint,"4,807",2020,20200312
M02674,chelsea ,cost,Mosaic,"5,854",2010,20100520
M01824,LES,os gemeos,spray paint,"2,437",2016,20160815
M04673,BUSHWICK,banksy,acrylic,99,2015,20151006
M01056,Astoria,jane q. public,Aerosol,"2,527",,20141211
M03940,Williamsburg,kaws,acrylic,"6,444",2006,20060728
M04400,harlem,Lady Pink,spraypaint,"4,605",2018,20180712
M04056,Harlem,os gemeos,spray paint,529,2011,20110204
M02750,Lower East Side,Jane Q. Public,spraypaint,"5,488",2005,20051115
M03337,LIC,Lady Pink,aerosol,"6,472",2007,20071215
M03121,Astoria,shepard fairey,Acrylic,"5,684",2010,20100706
M02321,Williamsburg,COST,acrylic,999999,2016,20161121
M04017,BUSHWICK,KAWS,aerosol,396,,20170322
M00501,SoHo,Os Gemeos,acrylic,"5,327",2009,20091021
M03200,Harlem,Futura,Wheatpaste,380,2019,20190128
M01425,Chelsea,lady pink,spraypaint,"4,261",2010,20100217
M01825,LIC,Shepard Fairey,Acrylic,540,2019,20190525
M00636,LIC,jane q. public,mosaic,"4,363",2009,20090418
M00201,Bushwick,cost,mosaic,"5,972",2016,20160211
M02608,SoHo,kaws,aerosol,"7,925",2010,20100223
M02147, Bushwick ,jane q. public,Wheatpaste,"3,732",2006,20060105
M03889,Lower East Side,KAWS,Mosaic,"5,282",2019,20190308
M03203,Bronx,,acrylic,"2,886",2015,20150419
M03793,soho,Banksy,spraypaint,"5,561",2015,20150713
M04264,BUSHWICK,KAWS,aerosol,345,2023,20230605
M02920,Chelsea,Jane Q. Public,mosaic,-50,2021,20210211
M04145, Bushwick ,faith47,spray paint,"1,558",2008,20080405
M00850, Bushwick ,os gemeos,Acrylic,"3,342",2021,20211226
M01149,Harlem,Jane Q. Public,spray paint,"2,554",2009,20090810
M01458,bushwick,Jane Q. Public,Acrylic,"1,922",2017,20170806
M01663,the bronx,banksy,Spray Paint,"3,737",2007,20070203
